date,open,high,low,close,adj_close,volume,rsi,macd,macd_signal,macd_hist,sma_20,ema_20,bb_upper,bb_middle,bb_lower,atr,returns,volatility,day_of_week,day_of_month,month,week_of_year
2011-06-24,199.81597900390625,201.08462524414062,195.5757598876953,199.1873779296875,180.06727600097656,31670322,38.712657652142326,-5.460150522395253,-4.2677263627723345,-1.1924241596229184,208.35642318725587,205.2543704377518,227.01356874488903,208.35642318725587,189.6992776296227,5.19600821627519,0.0010338590764651379,0.016750877192295337,4,24,6,25
2011-06-27,198.113037109375,201.5646514892578,197.00440979003906,199.22166442871094,180.09828186035156,14349371,38.769610680143025,-5.257866614073805,-4.465754413032629,-0.7921122010411761,207.58724060058594,204.6798270083193,226.41810738321954,207.58724060058594,188.75637381795235,5.15059632219973,0.00017213188596487683,0.01676174288041879,0,27,6,26
2011-06-28,200.90174865722656,200.90174865722656,197.0386962890625,199.11880493164062,180.00531005859375,10219645,38.6535616580044,-5.04766867867005,-4.582137266160114,-0.4655314125099359,206.66433563232422,204.1502058581594,225.25408371685583,206.66433563232422,188.07458754779262,5.058628896911467,-0.0005163067850340042,0.016275604006638765,1,28,6,26
2011-06-29,200.1702880859375,202.9818572998047,199.34739685058594,202.35325622558594,182.92926025390625,12430639,44.299664200448476,-4.5674414901196485,-4.579198110952021,0.011756620832372278,205.96087112426758,203.9790677979143,224.07914450488443,205.96087112426758,187.84259774365074,4.97323057342951,0.01624382636816102,0.016907467305134417,2,29,6,26
2011-06-30,203.14187622070312,206.18202209472656,202.75328063964844,205.38198852539062,185.6673126220703,21744714,49.03026938015994,-3.897536227423444,-4.442865734246306,0.5453295068228616,205.36026916503906,204.11267929576917,222.70248778178797,205.36026916503906,188.01805054829015,4.891483094551733,0.0149675491084178,0.01731506741341174,3,30,6,26
2011-07-01,207.32493591308594,207.32493591308594,195.82720947265625,197.0272674560547,178.11456298828125,28677893,39.152222933909286,-3.994738785230453,-4.353240344443136,0.3585015592126828,204.52994079589843,203.43787816817732,221.79818249716237,204.52994079589843,187.26169909463448,5.3633576192573,-0.040678937473151766,0.01912673667322446,4,1,7,26
2011-07-04,199.87313842773438,201.01605224609375,197.7244415283203,198.5016326904297,179.44737243652344,16499512,41.39606045572414,-3.907757365553863,-4.264143748665282,0.3563863831114187,203.73732833862306,202.96775955124897,220.57910287798848,203.73732833862306,186.89555379925764,5.265173845741712,0.007483051728887524,0.01923173152247372,0,4,7,27
2011-07-05,198.7073516845703,198.7073516845703,192.92420959472656,193.36993408203125,174.80828857421875,33805768,36.36895236113639,-4.204442952909602,-4.252203589514146,0.04776063660454355,202.45383377075194,202.053680935133,218.31949561140448,202.45383377075194,186.5881719300994,5.302171577463286,-0.025852173298753223,0.018867960425166145,1,5,7,27
2011-07-06,194.0328369140625,196.23866271972656,192.1698760986328,194.95858764648438,176.24441528320312,26877909,38.8449174181859,-4.262244847230136,-4.2542118410573435,-0.008033006172792234,201.35320587158202,201.3779577647855,216.04874848564805,201.35320587158202,186.657663257516,5.214072652008319,0.008215618275895897,0.019119507319060612,2,6,7,27
2011-07-07,196.12437438964844,199.9874267578125,195.49575805664062,199.02737426757812,179.92266845703125,20137982,44.7721746726839,-3.934383069904243,-4.190246086826724,0.2558630169224809,200.40115661621093,201.15409266981337,212.95249155655455,200.40115661621093,187.8498216758673,5.2008416848168775,0.020870004600523684,0.01987005966268383,3,7,7,27
2011-07-08,199.55311584472656,199.7816925048828,194.75286865234375,195.40432739257812,176.64739990234375,20937538,40.96479868647915,-3.921693017071618,-4.1365354728757024,0.21484245580408423,199.37653274536132,200.60649597674333,209.87925764651857,199.37653274536132,188.87380784420407,5.188554696797033,-0.01820376160984305,0.020077489024861717,4,8,7,27
2011-07-11,195.2100372314453,196.57009887695312,193.60995483398438,195.05003356933594,176.32708740234375,9598807,40.60119298632096,-3.8953217648024747,-4.088292731261057,0.19297096645858236,198.5502052307129,200.07730908079978,207.58078833903716,198.5502052307129,189.51962212238863,5.02938250723787,-0.0018131319196958984,0.019762108270513726,0,11,7,28
2011-07-12,193.7242431640625,195.98721313476562,193.3127899169922,193.78138732910156,175.1802215576172,13066390,39.257487775621634,-3.931471945125395,-4.056928574033925,0.12545662890853038,197.82331085205078,199.47769748539997,205.8793216459449,197.82331085205078,189.76730005815665,4.861171129418983,-0.006504209289373897,0.019589487554709,1,12,7,28
2011-07-13,194.9928741455078,198.79879760742188,194.54714965820312,197.8273162841797,178.83779907226562,17029770,45.45711672907366,-3.592239469530284,-3.9639907531331975,0.3717512836029133,197.42214736938476,199.320518323379,204.58930548827973,197.42214736938476,190.25498925048979,4.872331068626221,0.02087883160938908,0.020207770380306852,2,13,7,28
2011-07-14,197.3358612060547,200.6731719970703,196.43295288085938,198.30734252929688,179.271728515625,13312532,46.15924347270752,-3.2472291460827876,-3.8206384317231157,0.5734092856403281,197.19356460571288,199.22402539060926,203.92857952371324,197.19356460571288,190.45854968771252,4.827180214882271,0.002426491215336668,0.020008178452511887,3,14,7,28
2011-07-15,198.3416290283203,200.23886108398438,197.7244415283203,199.5988311767578,180.4392547607422,10206245,48.095198444277145,-2.8368917168483563,-3.6238890887481636,0.7869973718998073,197.24442443847656,199.25972117976625,204.03572717747116,197.24442443847656,190.45312169948195,4.661983024938114,0.006512560911707821,0.01948637666320457,4,15,7,28
2011-07-18,199.30166625976562,199.7588348388672,197.5415802001953,198.3187713623047,179.28208923339844,6582763,46.31751785631259,-2.585186061286606,-3.4161484832558524,0.8309624219692462,197.63701629638672,199.1701069114366,203.6826137782097,197.63701629638672,191.59141881456372,4.48735956877624,-0.0064131628772893245,0.016913190298135154,0,18,7,29
2011-07-19,198.29591369628906,201.47320556640625,197.95303344726562,201.02748107910156,181.73077392578125,9822813,50.487938869349826,-2.142440558167067,-3.1614068982380954,1.0189663400710285,197.98903427124023,199.34699968930946,203.9630016545739,197.98903427124023,192.01506688790656,4.418274750945125,0.01365836273687071,0.016704517297855936,1,19,7,29
2011-07-20,202.52468872070312,202.7075653076172,198.5930633544922,200.28457641601562,181.05918884277344,11180149,49.355440344750555,-1.8304079512607245,-2.8952071088426212,1.0647991575818967,198.33648071289062,199.43629271090055,203.98701266939852,198.33648071289062,192.68594875638271,4.396576693957973,-0.0036955378393942473,0.01671017486630556,2,20,7,29
2011-07-21,200.22743225097656,200.22743225097656,196.02149963378906,196.7758331298828,177.8872528076172,7886175,44.301066316654996,-1.8449783595439726,-2.6851613589828913,0.8401829994389187,198.22618942260743,199.18291560794648,203.90806656881003,198.22618942260743,192.54431227640484,4.387040985977158,-0.017518789259362233,0.015969220779631307,3,21,7,29
2011-07-22,197.95303344726562,200.4674530029297,197.15298461914062,199.63311767578125,180.47023010253906,15303807,48.891096006794896,-1.6074369964515824,-2.46961648647663,0.8621794900250475,198.24847640991212,199.22579199535932,203.94872673932872,198.24847640991212,192.5482260804955,4.337368049339281,0.014520505391596883,0.01631599744252589,4,22,7,29
2011-07-25,203.8961944580078,203.8961944580078,200.9589080810547,201.80465698242188,182.433349609375,21905216,52.120463276529954,-1.2297825137673897,-2.221649691934782,0.9918671781673924,198.37762603759765,199.47139818460337,204.27389607733983,198.37762603759765,192.48135599785547,4.332061530259801,0.010877650621914148,0.016490819426756585,0,25,7,30
